nid,id,hd,cr,wc,pd,et,sn,sc,ed,pg,la,cy,lp,td,ct,rf,co,ina,ns,re,ipc,ipd,pub,an
1,Factiva-20210602-1530,,,,,,,,,,,,,,,,,,,,,,,
2,Factiva-20210602-1530,"Gather in Public (With Care)
   BY
By Robin Lloyd",,"1,634 words",30 May 2021,,The New York Times,NYTF,Late Edition - Final,15,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"Going to Disney World this summer? Or to your niece's sixth birthday party? Here's how to do it safely.

During spring break last month, Monica Gandhi tested her confidence in coronavirus science. She and her two unvaccinated children stood in a packed crowd near a well-known bridge in Austin, Texas, to enjoy watching the emergence at dusk of thousands of Brazilian free-tailed bats.",,,,,,gsars : Novel Coronaviruses | gout : Outbreaks/Epidemics | glife : Living/Lifestyle | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gspox : Infectious Diseases,usa : United States | namz : North America,,House & Home/Style Desk,The New York Times Company,Document NYTF000020210530eh5u0004c
3,Factiva-20210602-1530,"The unseen coronavirus risk for unvaccinated people
   BY
Dan Keating                Leslie Shapiro",,"1,136 words",30 May 2021,,The Washington Post,WP,FINAL,A15,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","The country's declining covid-19 case rates present an unrealistically optimistic perspective for half of the nation - the half that is still not vaccinated. As more people receive vaccine shots, covid-19 cases are occurring mostly in the increasingly narrow slice of the unprotected population. So The Washington Post adjusted its case, death and hospitalization rates to account for that - and found that in some places, the virus continues to rage among those who haven't received a shot. The rosy national figures showing declining case numbers led the Centers for Disease Control and Prevention to loosen mask recommendations and President Biden to advise people to take off their masks and smile. But adjustments for vaccinations show the rate among susceptible, unvaccinated people is 69 percent higher than the standard figures being publicized. With that adjustment, the national death rate is roughly the same as it was two months ago and is barely inching down.",,,,,,gsars : Novel Coronaviruses | gout : Outbreaks/Epidemics | gimmu : Immunizations | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures,usa : United States | use : Northeast U.S. | uswa : Washington State | namz : North America | usw : Western U.S.,,Health-Environment-Science,Washington Post,Document WP00000020210530eh5u0001l
4,Factiva-20210602-1530,"Surge in Fliers to Test Airports and Carriers
   BY
By Doug Cameron",,836 words,29 May 2021,,The Wall Street Journal,J,,A1,English,"Copyright 2021 Dow Jones & Company, Inc. All Rights Reserved.","U.S. airline-passenger numbers are forecast to average as many as two million a day through the Memorial Day holiday, testing the ability of airlines and airports to handle infrequent and, in some cases, unruly, fliers.

While domestic air-travel numbers last Christmas were half those in 2019, recent Transportation Security Administration counts have them now hovering around 90% of pre-pandemic levels. The TSA screened 1.9 million passengers last Sunday, a 14-month high.",,,,amair : American Airlines Group Inc. | ustsa : Transportation Security Administration,i764 : Airports | i7501 : Passenger Airlines | i75 : Airlines | iairtr : Air Transport | itsp : Transportation/Logistics,gtour : Travel | gtrans : Transport | nmajev : Major News Events | npag : Page One Stories | ntop : Top Wire News | gcat : Political/General News | glife : Living/Lifestyle | ncat : Content Types | ndj : Dow Jones Top Stories | redit : Selection of Top Stories/Trends/Analysis,usa : United States | namz : North America,FAA | HLS | USG | NND | TRSH | PGO,,"Dow Jones & Company, Inc.",Document J000000020210529eh5t0002o
5,Factiva-20210602-1530,"U.S. News: Covid-19 Shot Can Be a Job Requirement --- Updated guidance from EEOC notes some exceptions; incentives are allowed
   BY
By Eric Morath and Sarah Chaney Cambon",,540 words,29 May 2021,,The Wall Street Journal,J,,A3,English,"Copyright 2021 Dow Jones & Company, Inc. All Rights Reserved.","U.S. employers could require all workers physically entering a workplace to be vaccinated against Covid-19, the federal government said Friday.

The Equal Employment Opportunity Commission issued updated guidance stating that federal laws don't prevent an employer from requiring workers to be vaccinated.",,,,equoc : United States Equal Employment Opportunity Commission,i257 : Pharmaceuticals | i951 : Healthcare/Life Sciences,gvbod : Government Bodies | gjob : General Labor Issues | gsars : Novel Coronaviruses | gout : Outbreaks/Epidemics | ghea : Health | gimmu : Immunizations | gpol : Domestic Politics | nmajev : Major News Events | ntop : Top Wire News | gcat : Political/General News | gcold : Respiratory Tract Diseases | gmed : Medical Conditions | gpir : Politics/International Relations | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | ndj : Dow Jones Top Stories | redit : Selection of Top Stories/Trends/Analysis,usa : United States | namz : North America,FDL | USG | NND | USN,,"Dow Jones & Company, Inc.",Document J000000020210529eh5t0002j
6,Factiva-20210602-1530,"OFF DUTY --- The Looking Forward Issue: Eating & Drinking: Return To the Table --- We've all gone a little feral over the last year. A dinner party provides an ideal opportunity to reconnect with our civilized selves. Here's how to actually enjoy it.
   BY
By Rico Gagliano and Brendan Francis Newnam",,"2,741 words",29 May 2021,,The Wall Street Journal,J,,D1,English,"Copyright 2021 Dow Jones & Company, Inc. All Rights Reserved.","Back in 2018, we wrote a book called ""Brunch Is Hell,"" in which we declared the dinner party the cornerstone of civilization -- and brunch its evil antithesis.

Unlike brunchers at a restaurant, we noted, dinner party hosts selflessly welcome friends and strangers into their homes, provide them with free food and in return ask only that no one spill wine on the Pomeranian. A dinner party, we said, is a safe space for the freewheeling exchange of ideas, where differences can be loudly debated and impromptu dancing is welcomed.",,,,,,gbook : Books | gfod : Food/Drink | glife : Living/Lifestyle | grcps : Recipes | ncat : Content Types | nmajev : Major News Events | ntop : Top Wire News | gcat : Political/General News | gent : Arts/Entertainment | ndj : Dow Jones Top Stories | nfact : Factiva Filters | nfce : C&E Exclusion Filter | nrgn : Routine General News | redit : Selection of Top Stories/Trends/Analysis,usa : United States | namz : North America,MMR | NND | OFD,,"Dow Jones & Company, Inc.",Document J000000020210529eh5t0000j
7,Factiva-20210602-1530,"Coronavirus test options plentiful as demand falls
   BY
Ken Alltucker",,"1,753 words",28 May 2021,,USA Today,USAT,,"A.1
   VOL
ISSN:07347456",English,©021 USA Today.  Provided by ProQuest Information and Learning.   All Rights Reserved.,"In Chattanooga, Tennessee, health workers are handing out thousands of rapid coronavirus tests at clinics, churches, restaurants and grocers.

It's part of a big experiment to gauge whether flooding a community with rapid coronavirus tests can spur a meaningful reduction in cases and COVID-19 hospitalizations. Researchers want to know: If people have free home tests, will they check their status and isolate if infected?",,,,,,gsars : Novel Coronaviruses | gout : Outbreaks/Epidemics | c23 : Research/Development | ghea : Health | gimmu : Immunizations | npag : Page One Stories | ccat : Corporate/Industrial News | gcat : Political/General News | gcold : Respiratory Tract Diseases | gmed : Medical Conditions | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | ncat : Content Types,usa : United States | ustn : Tennessee | usnc : North Carolina | namz : North America | uss : Southern U.S.,,"Newspapers | USA Today, a division of Gannett Satellite Information Network, Inc. | News",USA Today Information Network,Document USAT000020210528eh5s0002u
8,Factiva-20210602-1530,"Glitches Mar Virus Apps That Warn Of Exposure
   BY
By Natasha Singer",,"1,580 words",28 May 2021,,The New York Times,NYTF,Late Edition - Final,1,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"Sarah Cavey, a real estate agent in Denver, was thrilled last fall when Colorado introduced an app to warn people of possible coronavirus exposures.

Based on software from Apple and Google, the state's smartphone app uses Bluetooth signals to detect users who come into close contact. If a user later tests positive, the person can anonymously notify other app users whom the person may have crossed paths with in restaurants, on trains or elsewhere.",,,,gognew : Google LLC | goog : Alphabet Inc.,imobsoft : Mobile Applications Software | i3302 : Computers/Consumer Electronics | icellph : Cell/Mobile/Smart Phones | i330202 : Software | i3302021 : Applications Software | i3441 : Telecommunications Equipment | i34411 : Mobile Communications Devices | i3454 : Personal Electronics | icomp : Computing | ielec : Consumer Electronics | ihandaps : Handheld Electronic Devices | itech : Technology | i8395464 : Internet Search Engines | iint : Online Service Providers,ghack : Cybercrime/Hacking | gcvir : Malware | gvhhs : Health/Social Services Department | gsars : Novel Coronaviruses | gcat : Political/General News | gcold : Respiratory Tract Diseases | gcrim : Crime/Legal Action | ghea : Health | gmed : Medical Conditions | gpir : Politics/International Relations | gpol : Domestic Politics | gspox : Infectious Diseases | gvbod : Government Bodies | gvexe : Executive Branch | ncat : Content Types | nfact : Factiva Filters | nfcpex : C&E Executive News Filter,usa : United States | usco : Colorado | namz : North America | usw : Western U.S.,,Business/Financial Desk,The New York Times Company,Document NYTF000020210528eh5s0007p
9,Factiva-20210602-1530,Republican Actions Against Democracy,,915 words,28 May 2021,,The New York Times,NYTF,Late Edition - Final,18,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"To the Editor:

Re ''G.O.P. Voting Bills Ratchet Up the Penalties on Poll Workers'' (front page, May 16):",,,,,,gpol : Domestic Politics | gcat : Political/General News | nlet : Letters | gpir : Politics/International Relations | ncat : Content Types | nfact : Factiva Filters | nfce : C&E Exclusion Filter | niwe : IWE Filter | nrgn : Routine General News,usa : United States | namz : North America,,Editorial Desk | Letter,The New York Times Company,Document NYTF000020210528eh5s00061
10,Factiva-20210602-1530,How to Allocate Vaccines Fairly: Covax's View,,328 words,28 May 2021,,The New York Times,NYTF,Late Edition - Final,18,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"Summary summary summary

To the Editor:",,,,,i257 : Pharmaceuticals | i951 : Healthcare/Life Sciences,gimmu : Immunizations | nlet : Letters | gcat : Political/General News | ghea : Health | gtrea : Medical Treatments/Procedures | ncat : Content Types | nfact : Factiva Filters | nfce : C&E Exclusion Filter | niwe : IWE Filter | nrgn : Routine General News,usa : United States | namz : North America,,Editorial Desk | Letter,The New York Times Company,Document NYTF000020210528eh5s0005y
